"Input","Target"
" which films are about victorian","	The Prestige, Sherlock Holmes, The Doctor and the Devils"
" what movies can be described by friends vs lovers","	When Harry Met Sally..."
" which films can be described by book-learned","	Elling, The Sleeping Dictionary"
" what films are about breaks the fourth wall","	Ferris Bueller's Day Off, Kiss Kiss Bang Bang, Stalker, Pom Poko, The Tingler"
" what movies are about unicorns","	Legend, The Last Unicorn"
" what movies can be described by marijuana","	The Big Lebowski, Lock, Stock and Two Smoking Barrels, Children of Men, The 40-Year-Old Virgin, Knocked Up, Due Date, Pineapple Express, Fear and Loathing in Las Vegas, The Beach, 30 Days of Night, Jay and Silent Bob Strike Back, Clerks II, Dazed and Confused, Easy Rider, Grandma's Boy, Half Baked, How High, Extract, Up in Smoke, Leaves of Grass, Saving Grace, Smiley Face, Clip, Grass, Humboldt County, A/k/a Tommy Chong, Riot on Sunset Strip"
" what films can be described by sad but good","	Forrest Gump, The Green Mile, The Sixth Sense, Up, Life Is Beautiful, E.T. the Extra-Terrestrial, Moon, 2 Grams, K-PAX, The English Patient, The Thin Red Line, Grave of the Fireflies, One Hour Photo, Reign Over Me, Precious, Volver, House of Sand and Fog, Adam's Apples, Silent Running, Never Cry Wolf, The Plague Dogs, Once Around"
" what movies can be described with storm","	The Prestige, Pan's Labyrinth, X-Men, War of the Worlds, Moonrise Kingdom, Twister, Poltergeist, Ponyo, Kiki's Delivery Service, Triangle, White Squall, The Bat"
" what films can be described by freddie highmore","	Charlie and the Chocolate Factory, Finding Neverland, The Golden Compass, August Rush, The Spiderwick Chronicles, The Art of Getting By"
" what movies can be described by very boring","	Waterworld, The Polar Express, Dreams"
" what films are about south","	The Notebook, Gone with the Wind, Winter's Bone"
" what movies can be described by divorce","	Up, Taken, Burn After Reading, Liar Liar, Mrs. Doubtfire, Closer, Sideways, A Separation, Definitely, Maybe, Mr. Nobody, The Way Way Back, Chef, Kramer vs. Kramer, The Parent Trap, Intolerable Cruelty, The Switch, The Weather Man, Blended, The Squid and the Whale, The Philadelphia Story, The Possession, Stepmom, Everything Must Go, The War of the Roses, Under the Tuscan Sun, The Big Year, The First Wives Club, Dark Water, The Jane Austen Book Club, Fly Away Home, The Story of Us, Laws of Attraction, The Awful Truth, Struck by Lightning, The Women, A.C.O.D., Divorce Italian Style, 5x2, Dodsworth, Sidewalks of New York, The Gay Divorcee, An Unmarried Woman, Wah-Wah, Love Crazy, The Divorcee, With Six You Get Eggroll, Daisy Kenyon"
" which films are about not enough monster action","	Godzilla, Attack of the 50 Foot Woman"
" what movies are about doll","	May, Curse of Chucky"
" what movies are about nerds","	The Social Network, Superbad, The 40-Year-Old Virgin, Paul, The Girl Next Door, Napoleon Dynamite, Cloudy with a Chance of Meatballs, Wayne's World, Sixteen Candles, Weird Science, Best in Show, The Benchwarmers, Revenge of the Nerds, School for Scoundrels, Frequently Asked Questions About Time Travel, Real Genius, Enigma, Evil Aliens, Wordplay"
" what movies can be described with cyd charisse","	Brigadoon, That's Entertainment! III"
" what movies can be described with afi #91","	My Fair Lady"
" which films are about campbell scott","	Roger Dodger, Big Night, Longtime Companion, Off the Map, Hamlet"
" which movies are about marion cotillard","	Inception, The Dark Knight Rises, Midnight in Paris, Public Enemies, Contagion, A Good Year, A Very Long Engagement, La Vie en Rose, Taxi, Love Me If You Dare, Rust and Bone"
" what movies can be described with dogma 95","	The Celebration, The Five Obstructions"
" which films can be described by pentecostal","	The Apostle"
" what movies are about giulietta masina","	La Strada"
" which movies are about danny glover","	Saw, 2012, Shooter, Lethal Weapon, Lethal Weapon 2, Predator 2, The Prince of Egypt, The Rainmaker, Death at a Funeral, Silverado"
" which movies are about pirate radio","	Pump Up the Volume"
" what movies can be described by nick and nora charles","	The Thin Man, After the Thin Man, Another Thin Man, Shadow of the Thin Man, The Thin Man Goes Home, Song of the Thin Man"
" what movies are about cigarettes","	Thank You for Smoking, Married Life, Harvie Krumpet"
" which films can be described by psychotic tendencies","	One Hour Photo"
" which movies are about author:dan brown","	The Da Vinci Code"
" which films are about friday night fare","	The 40-Year-Old Virgin, Top Gun, My Cousin Vinny, Kingpin"
" which movies can be described by suspension of disbelief required","	Upside Down, Antitrust"
" what films are about btaegepriority","	Downfall, The Maze Runner, How to Train Your Dragon 2, Bolt, Metropolis, Broken Flowers, Out of the Furnace, ParaNorman, Frankenweenie, Wild, Soylent Green, The Book of Life, Song of the Sea"
" which films can be described by lucy liu","	Lucky Number Slevin, Charlie's Angels, Payback, Shanghai Noon, Domino, The Man with the Iron Fists, Detachment, Cypher, Watching the Detectives"
" what movies are about bob balaban","	Moonrise Kingdom, The Mexican, No Reservations, Dedication, My Boyfriend's Back"
" what films can be described by search and rescue","	The Perfect Storm"
" what movies can be described by welsh","	Pride, How Green Was My Valley"
" what movies are about amazing acting!","	There Will Be Blood"
" what movies can be described by jupiter","	Europa Report"
" what films are about pudding","	Punch-Drunk Love"
" what films are about boy and his dog","	Frankenweenie"
" which films can be described by ben affleck is director","	Argo, The Town, Gone Baby Gone"
" what films can be described by bdsm","	Fifty Shades of Grey, Shoot 'Em Up, Secretary, Doomsday, Quills, Bound, After Hours, Choke, The Killer Inside Me, Bitter Moon, The People Under the Stairs, From Beyond, The Notorious Bettie Page, Romance, Preaching to the Perverted, Fetishes, The Laughing Woman"
" which films are about dirigibles","	Sky Captain and the World of Tomorrow, The Island at the Top of the World"
" what films are about joan cusack","	Toy Story 3, Toy Story 2, Grosse Pointe Blank, Runaway Bride, Confessions of a Shopaholic, Addams Family Values, Raising Helen, Nine Months, Toys, Friends with Money"
" what films are about scam","	The Sting, Matchstick Men, The Hustler, Boiler Room, Nine Queens, Baby Mama, Confidence, The Grifters, Crackerjack"
" which films are about nathaniel hawthorne","	The Scarlet Letter"
" what movies can be described by cinematographer:andrew lesnie","	King Kong, The Lovely Bones"
" what films can be described by screenwriter:steve kloves","	Harry Potter and the Goblet of Fire, Wonder Boys"
" what movies can be described with murder of a child","	Mandingo"
" what movies are about frustrating to watch","	Source Code, 28 Weeks Later, Buried"
" which movies can be described by toshirÃ´ mifune","	The Hidden Fortress, High and Low, Red Beard, Stray Dog, Samurai Rebellion, The Sword of Doom, Drunken Angel, Grand Prix"
" which films are about billy wilder","	Some Like It Hot, The Apartment, Double Indemnity, Witness for the Prosecution, Stalag 17, Sabrina, The Seven Year Itch, The Lost Weekend, Ace in the Hole, One, Two, Three, Irma la Douce, Love in the Afternoon, The Fortune Cookie, The Front Page, The Private Life of Sherlock Holmes, Avanti!, The Spirit of St. Louis, Kiss Me, Stupid, A Foreign Affair, The Major and the Minor, Five Graves to Cairo"
" which films are about 16mm","	Beasts of the Southern Wild, Bad Taste, Meet the Feebles, Female Trouble, Get on the Bus"
" what films are about denis leary","	The Amazing Spider-Man, Demolition Man, The Ref"
" what films are about pennsylvania","	Groundhog Day, The Deer Hunter, The Happening, Zack and Miri Make a Porno, Unstoppable, Blue Valentine, Foxcatcher, Witness"
" which films can be described by ingmar bergman","	The Incredibles, The Seventh Seal, Wild Strawberries, Persona, Invincible, Fanny and Alexander, The Virgin Spring, Autumn Sonata, Through a Glass Darkly, Winter Light, The Silence, Hour of the Wolf, Smiles of a Summer Night, Shame, Summer with Monika, The Magician, The Passion of Anna, Saraband, Face to Face, The Magic Flute, Faithless, Summer Interlude, Torment, To Joy, Crisis, Thirst, Port of Call"
" what films can be described by relationship advice","	The Ugly Truth"
" what films can be described by underdeveloped","	Legion"
" what movies can be described with deformity/disability","	The Elephant Man, My Left Foot, Mask, The Hunchback of Notre Dame"
" what films can be described by claire forlani","	Meet Joe Black, Boys and Girls, Ripley Under Ground"
" what movies can be described with saturn award (best director)","	Raiders of the Lost Ark, Alien, Jurassic Park, Close Encounters of the Third Kind, Who Framed Roger Rabbit, Gremlins, The Abyss"
" what movies can be described with classical studies","	Gladiator, 300, Troy, Ben-Hur, Alexander, Hercules, Spartacus, Spartan, Caligula, Titus, Jason and the Argonauts, A Funny Thing Happened on the Way to the Forum, The Golden Voyage of Sinbad, Barabbas, Demetrius and the Gladiators, Helen of Troy, The King of Kings, The Trojan Women"
" which films are about leni riefenstahl","	Triumph of the Will, The Blue Light"
" what movies can be described with biopics","	A Beautiful Mind, Capote, The Queen, Elizabeth, Frida, My Left Foot, Kinsey, Shine, Wilde, The Madness of King George, Sylvia, An Angel at My Table, Carrington, Impromptu, Mrs. Parker and the Vicious Circle, Thirty Two Short Films About Glenn Gould"
" which movies are about old","	Monty Python and the Holy Grail, Rear Window, The Wrestler, North by Northwest, Some Like It Hot, Goldfinger, The Third Man, The African Queen, Sabrina, Cat on a Hot Tin Roof, The Omega Man, Cape Fear, Grumpier Old Men, Harakiri, Ivan's Childhood, Le Cercle Rouge, Irma la Douce, A Man Escaped, Holiday, The Heiress, The Defiant Ones, The Roaring Twenties, The Picture of Dorian Gray, Pickup on South Street, Ball of Fire, Ashes and Diamonds, The Unknown Soldier, The Man from Snowy River, A Raisin in the Sun, The Talk of the Town, 10 Rillington Place, The Narrow Margin, An Autumn Afternoon, Sherlock Holmes and the Secret Weapon, Room at the Top, The Men, Man of Aran"
" what films are about phillip seymour hoffman","	The Big Lebowski, The Ides of March, Mary and Max, Capote, Happiness, Owning Mahowny, Love Liza"
" what movies are about greenland","	The Secret Life of Walter Mitty"
" which films are about chloe moretz","	Kick-Ass, Kick-Ass 2"
" what movies can be described by james whale","	Frankenstein, The Invisible Man, The Old Dark House, Hell's Angels, Show Boat, Waterloo Bridge, The Man in the Iron Mask"
" what movies are about setting:church","	Sister Act, Priest"
" what movies can be described by love of music","	August Rush"
" what movies can be described with bennett miller","	Moneyball, Capote, Foxcatcher"
" what movies can be described by david silverman","	Monsters, Inc., The Simpsons Movie"
" what films are about anti-bush","	Bowling for Columbine, Fahrenheit 9/11"
" what films can be described by turkey","	Skyfall, Taken 2, Dracula Untold, Midnight Express, Gallipoli, Rubber, Ararat, Topkapi, ThanksKilling, You Can't Win 'Em All"
" which movies can be described by best love story","	P.S. I Love You"
" what films are about hero is a wimp","	The Lone Ranger, The Phantom of the Opera, The Magic Sword"
" what films are about lame sequel","	Iron Man 2, The Chronicles of Riddick, Look Who's Talking Too"
" what films can be described by lightning","	The Natural, The Machine, Harvie Krumpet, Son of Frankenstein"
" which movies are about light plot","	Gamer"
" which movies can be described by life","	Forrest Gump, The Green Mile, Eternal Sunshine of the Spotless Mind, Amélie, Pan's Labyrinth, The Curious Case of Benjamin Button, Big Fish, Little Miss Sunshine, Lost in Translation, Howl's Moving Castle, Atonement, Pi, About Schmidt, The Family Man, Dead Man, Elizabethtown, Waking Life, Mr. Magorium's Wonder Emporium, Dreams, Taste of Cherry, 10 Items or Less, Buena Vista Social Club, Orlando, Harvie Krumpet"
" which films are about witch hunt","	The Seventh Seal"
" which movies are about kansas","	Looper, In Cold Blood, The Most Hated Family in America"
" what films can be described by x-men wanna-be","	Push"
" which movies are about tom tykwer","	Cloud Atlas, Run Lola Run, The International, Heaven, The Princess and the Warrior, Winter Sleepers"
